team,player,shot,airtime,arm_raised,jumping_point,jump_length,jump_angle, comment
FA,2,p51,0.380,2,44.6,231.0,-23
FA,3,p51,0.460,0,129.1,156.4,-15
FA,5,p51,0.420,2,26.9,131.6,-7
FA,6,p51,0.460,2,26.9,197.9,-24
FA,1,p52,0.400,2,35.3,170.4,-23
FA,2,p52,0.380,2,35.3,218.8,-17
FA,3,p52,0.460,2,64.8,161.0,-8
FA,4,p52,0.400,1,114.1,125.9,-3
FA,5,p52,0.480,2,23.7,195.1,-24
FA,1,p61,0.400,1,55.0,163.7,-24
FA,2,p61,0.380,2,49.6,209.0,-19
FA,3,p61,0.460,2,73.0,159.8,-12
FA,4,p61,0.420,1,43.5,143.0,-6
FA,5,p61,0.480,2,27.0,185.4,-9
FA,1,p62,0.400,2,45.8,178.3,-24
FA,2,p62,0.380,2,45.8,226.3,-20
FA,3,p62,0.440,0,87.2,177.8,-11
FA,4,p62,0.460,2,21.4,170.6,-13
FA,5,p62,0.420,2,21.4,212.4,-21



HER,1,f1,0.640,0,10.7,268.9,-3
HER,2,f1,0.520,0,10.7,309.3,0
HER,3,f1,0.600,0,30.7,292.4,-7
HER,1,f2,0.680,0,14.4,270.8,-9
HER,2,f2,0.480,1,16.4,238.1,-1
HER,3,f2,0.560,2,2.8,270.7,-8
HER,1,f4,0.640,0,-,-,-
HER,2,f4,0.560,0,-,-,-
HER,3,f4,0.600,0,-,-,-
HER,1,p11,0.680,1,27.5,255.5,-12
HER,2,p11,0.600,0,23.4,266.2,-21
HER,3,p11,0.600,1,12.9,264.8,-7
HER,1,p12,0.720,1,15.3,257.0,-4
HER,2,p12,0.600,1,6.4,261.2,-18
HER,3,p12,0.640,1,6.4,262.6,-10
HER,1,p21,0.680,0,12.1,240,7
HER,2,p21,0.560,1,5.9,0.0,0
HER,3,p21,0.640,1,5.9,253.2,-10
HER,1,p22,0.680,0,31.1,-,-
HER,2,p22,0.560,2,12.5,271.1,-19
HER,3,p22,0.600,2,12.5,253.8,-5
HER,1,p31,0.640,1,17.5,257.3,-7
HER,2,p31,0.600,1,17.5,265.7,-11
HER,3,p31,0.600,1,6.2,249.4,-13
HER,1,p32,0.640,0,10.3,246.1,-11
HER,2,p32,0.560,0,10.3,262.4,-16
HER,3,p32,0.680,1,12.7,248.9,-7
HER,1,p41,0.680,0,15.5,275.0,-4
HER,2,p41,0.560,2,9.5,311.9,4
HER,3,p41,0.640,2,9.5,320.2,-15
HER,1,p42,0.680,1,18.9,274.3,-9
HER,2,p42,0.600,1,10.1,307.4,-5
HER,3,p42,0.600,1,10.1,284.7,-14
HER,1,p51,0.640,1,25.5,280.4,-6
HER,2,p51,0.480,1,10.4,318.1,-3
HER,3,p51,0.600,1,10.4,315.3,2
HER,1,p52,0.600,1,18.2,285.5,-6
HER,2,p52,0.560,1,28.1,315.6,-2
HER,3,p52,0.560,1,9.9,301.3,-6
HER,1,p61,0.640,1,39.0,264.7,-6
HER,2,p61,0.560,1,14.3,328.1,-7
HER,3,p61,0.600,1,14.3,295.5,-11
HER,1,p62,0.680,0,21.7,263.4,-5
HER,2,p62,0.560,1,13.9,298.0,-3
HER,3,p62,0.600,1,13.9,288.7,-8
VER,1,f1,0.680,1,47.7,265.8,-7
VER,2,f1,0.600,0,13.4,289.0,-15
VER,1,f2,0.680,1,54.7,286.7,-9
VER,2,f2,0.680,2,16.3,298.9,-17
VER,1,f3,0.680,0,-,-,-
VER,2,f3,0.560,0,-,-,-
VER,1,f4,0.640,0,-,-,-
VER,2,f4,0.520,0,-,-,-
VER,1,p11,0.680,1,3.6,262.6,-2
VER,2,p11,0.720,1,38.4,279.4,-10
VER,1,p12,0.720,0,12.5,245.8,-5
VER,2,p12,0.640,2,42.4,259.8,-12
VER,1,p21,0.680,0,2.4,239.5,-3
VER,2,p21,0.600,2,45.4,259.1,-10
VER,1,p22,0.680,1,31.8,248.8,-10
VER,2,p22,0.600,1,39.3,263.0,-12
VER,1,p31,0.680,1,6.2,256.1,-5
VER,2,p31,0.680,2,6.6,281.0,-14
VER,1,p32,0.680,1,16.9,266.6,-5
VER,2,p32,0.640,1,34.6,267.4,-11
VER,1,p41,0.680,1,29.4,300.5,-9
VER,2,p41,0.640,1,42.4,290.3,-19
VER,1,p42,0.720,1,19.6,266.6,-7
VER,2,p42,0.520,2,58.5,265.9,-15
VER,1,p51,0.680,1,29.8,299.6,-8
VER,2,p51,0.600,1,22.4,279.9,-19
VER,1,p52,0.680,1,15.1,279.3,-9
VER,2,p52,0.560,1,22.3,275.9,-17
VER,1,p61,0.680,1,23.8,289.6,-6
VER,2,p61,0.560,1,32.9,296.4,-23
VER,1,p62,0.000,1,29.6,282.9,-9
VER,2,p62,0.640,0,15.5,296.0,-17





P12,1,f1,0.440,0,-,-,-
P12,2,f1,0.360,0,-,-,-
P12,3,f1,0.440,1,62.9,182.7,-11
P12,4,f1,0.480,0,56.2,170.1,-15
P12,5,f1,0.400,1,3.1,173.2,-18p
P12,1,f2,0.440,0,-,-,-
P12,2,f2,0.360,0,-,-,-
P12,3,f2,0.440,0,-,-,-
P12,5,f2,0.400,2,21.2,199.5,-25
P12,5,f2,0.400,2,21.2,-,-
P12,1,f3,0.400,0,-,-,-
P12,1,f4,0.440,0,-,-,-
P12,2,f4,0.440,0,-,-,-
P12,3,f4,0.440,2,47.7,171.5,-6
P12,4,f4,0.520,0,-,171.5,-6
P12,5,f4,0.400,2,14.4,202.2,-22
P12,1,p11,0.440,0,-,-,-
P12,2,p11,0.400,0,-,-,-
P12,3,p11,0.440,0,-,-,-
P12,4,p11,0.520,0,30.0,175.0,-19
P12,5,p11,0.360,2,23.7,215.2,-26
P12,1,p12,0.440,0,-,-,-
P12,2,p12,0.480,0,-,-,-
P12,3,p12,0.440,2,58.5,169.6,-7
P12,4,p12,0.480,0,33.2,159.5,-15
P12,5,p12,0.360,2,8.8,210.3,-28
P12,1,p21,0.400,0,-,-,-
P12,2,p21,0.400,0,-,-,-
P12,3,p21,0.440,2,59.2,173.8,-8
P12,4,p21,0.440,0,-,-,-
P12,5,p21,0.360,0,15.1,220.0,-23
P12,1,p22,0.400,0,-,-,-
P12,2,p22,0.360,0,-,-,-
P12,3,p22,0.440,0,-,-,-
P12,4,p22,0.440,0,-,-,-
P12,5,p22,0.400,2,29.2,219.0,-30
P12,1,p31,0.440,0,-,-,-
P12,2,p31,0.400,0,-,-,-
P12,3,p31,0.440,1,42.0,178.4,-12
P12,4,p31,0.400,0,220.5,205.4,-52
P12,5,p31,0.360,0,193.1,205.4,-52
P12,1,p32,0.400,0,-,-,-
P12,2,p32,0.440,2,27.1,-,-
P12,3,p32,0.440,2,27.1,178.7,-4
P12,4,p32,0.480,0,35.9,177.1,-12
P12,5,p32,0.480,2,9.8,195.6,-28
P12,1,p41,0.440,2,10,150,-12,vet inte varför den här spelaren inte blir trackad av mp. denna raden är ett estimat för att få någon data på honom. 
P12,2,p41,0.400,0,10,145,-5, samma här kontroll mot spelardata. dessa är de två kortaste spelarna i materialet. men diff med 1 cm mot spelare 3 i materialet. 
P12,3,p41,0.480,2,39.4,178.8,-9
P12,4,p41,0.520,0,-,178.8,-9
P12,5,p41,0.400,2,17.7,160,-28, efter denna rad har jag åtgärdat datan med deltajump som är skiftad med i+1. får fixa i efterhand. 




P14,1,f1,0.520,0,-,-,-
P14,2,f1,0.560,0,28.0,228.5,-6
P14,3,f1,0.440,2,20.6,212.5,-26
P14,4,f1,0.360,2,20.6,170.2,-30
P14,1,f2,0.560,2,51.3,198.8,-8
P14,2,f2,0.480,2,51.3,231.0,-13
P14,3,f2,0.440,0,33.9,181.6,-23
P14,4,f2,0.440,0,-,-,-
P14,1,f3,0.520,2,43.5,212.4,-14
P14,2,f3,0.480,1,50.9,225.3,-20
P14,3,f3,0.480,1,50.9,167.9,-23
P14,4,f3,0.400,2,20.7,195.7,-30
P14,1,f4,0.520,1,50.4,211.7,-11
P14,2,f4,0.520,1,50.4,242.1,-22
P14,3,f4,0.440,2,25.3,189.7,-25
P14,4,f4,0.400,2,18.2,190.9,-30, För att belysa problem i delta jp så var detta hopp PRECIS innan punkten - dvs perfekt utmätt
P14,1,p11,0.520,2,60.7,224.0,-14
P14,2,p11,0.520,2,74.0,198.8,-26
